"peak","position","identifier","name","type","n_raw_ht","n_cor_ht","n_um","p_raw_ht","p_cor_ht","p_um","run_name","run_date","operator"
1,"SR:1","SYNC",NA,"SYNC",0.585,0.577,251.662,0.193,0.192,186.92,"sample_run_2019-03-01","3/1/2019","apimenta_102"
2,"SR:2","NO3 check",NA,"Unknown",0.388,0.381,165.668,0.005,0.004,4.237,"sample_run_2019-03-01","3/1/2019","apimenta_102"
3,"SR:3","NOX%",NA,"NO3 check",0.379,0.371,161.55,0.001,0,0.299,"sample_run_2019-03-01","3/1/2019","apimenta_102"
4,"SR:4","CO",NA,"Carry over",0.041,0.033,13.243,0.001,0,0.182,"sample_run_2019-03-01","3/1/2019","apimenta_102"
5,"SR:5","W",NA,"Wash",0.008,0,-1.215,0.001,0,0.213,"sample_run_2019-03-01","3/1/2019","apimenta_102"
6,"SR:6","C1",NA,"Calibrant",0.007,0,-1.333,0.001,0,0.123,"sample_run_2019-03-01","3/1/2019","apimenta_102"
7,"SR:7","C2",NA,"Calibrant",0.022,0.015,5.228,0.001,0,0.244,"sample_run_2019-03-01","3/1/2019","apimenta_102"
8,"SR:8","C3",NA,"Calibrant",0.068,0.061,25.435,0.001,0,0.106,"sample_run_2019-03-01","3/1/2019","apimenta_102"
9,"SR:9","C4",NA,"Calibrant",0.195,0.189,81.489,0.001,0,0.374,"sample_run_2019-03-01","3/1/2019","apimenta_102"
10,"SR:10","C5",NA,"Calibrant",0.372,0.366,159.18,0.001,0.001,0.949,"sample_run_2019-03-01","3/1/2019","apimenta_102"
11,"SR:11","C6",NA,"Calibrant",0.041,0.035,14.029,0.001,0,0.537,"sample_run_2019-03-01","3/1/2019","apimenta_102"
12,"SR:12","C7",NA,"Calibrant",0.01,0.005,0.812,0.002,0.001,1.379,"sample_run_2019-03-01","3/1/2019","apimenta_102"
13,"SR:13","C8",NA,"Calibrant",0.01,0.004,0.615,0.009,0.008,7.894,"sample_run_2019-03-01","3/1/2019","apimenta_102"
14,"SR:14","C9",NA,"Calibrant",0.008,0.003,0.257,0.016,0.015,15.067,"sample_run_2019-03-01","3/1/2019","apimenta_102"
15,"SR:15","CC1","NO3 100 uM","Check Cal",0.234,0.229,99.363,0.001,0,0.505,"sample_run_2019-03-01","3/1/2019","apimenta_102"
16,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.032,0.027,10.81,0.007,0.006,5.857,"sample_run_2019-03-01","3/1/2019","apimenta_102"
17,"SR:5","PAUSE",NA,"Pause",0.008,0.004,0.527,0.001,0,0.334,"sample_run_2019-03-01","3/1/2019","apimenta_102"
18,"SR:1","SYNC",NA,"SYNC",0.589,0.585,255.395,0.195,0.194,188.639,"sample_run_2019-03-01","3/1/2019","apimenta_102"
19,"0","AutoWash",NA,"AutoWash",0.024,0.021,7.965,0.002,0.001,1.567,"sample_run_2019-03-01","3/1/2019","apimenta_102"
20,"0","AutoWash",NA,"AutoWash",0.003,0,-1.215,0.001,0,0.213,"sample_run_2019-03-01","3/1/2019","apimenta_102"
21,"1:1","1","digested milliQ","Unknown",0.008,0.006,1.325,0.001,0,0.503,"sample_run_2019-03-01","3/1/2019","apimenta_102"
22,"1:2","2","Steve Shivers 2 check","Unknown",0.083,0.081,34.226,0.002,0.001,1.105,"sample_run_2019-03-01","3/1/2019","apimenta_102"
23,"1:3","3","Steve Shivers 2 check","Unknown",0.085,0.083,35.169,0.002,0.001,1.206,"sample_run_2019-03-01","3/1/2019","apimenta_102"
24,"1:4","4","Steve Shivers 2 check","Unknown",0.084,0.082,34.655,0.002,0.001,1.193,"sample_run_2019-03-01","3/1/2019","apimenta_102"
25,"1:5","5","20180906 M1","Unknown",0.148,0.146,62.666,0.002,0.001,1.243,"sample_run_2019-03-01","3/1/2019","apimenta_102"
26,"1:6","6","20180906 M2","Unknown",0.151,0.149,64.034,0.002,0.001,1.35,"sample_run_2019-03-01","3/1/2019","apimenta_102"
27,"1:7","7","20180906 M3","Unknown",0.173,0.171,73.826,0.003,0.002,1.88,"sample_run_2019-03-01","3/1/2019","apimenta_102"
28,"1:8","8","20180906 W1","Unknown",0.072,0.07,29.305,0.002,0.001,1.083,"sample_run_2019-03-01","3/1/2019","apimenta_102"
29,"1:9","9","20180906 W2","Unknown",0.065,0.064,26.644,0.002,0.001,1.039,"sample_run_2019-03-01","3/1/2019","apimenta_102"
30,"1:10","10","20180906 W3","Unknown",0.066,0.064,26.939,0.002,0.001,1.197,"sample_run_2019-03-01","3/1/2019","apimenta_102"
31,"0","AutoWash",NA,"AutoWash",0.004,0.002,-0.275,0.001,0,0.228,"sample_run_2019-03-01","3/1/2019","apimenta_102"
32,"0","AutoWash",NA,"AutoWash",0.001,0,-1.215,0.001,0,0.213,"sample_run_2019-03-01","3/1/2019","apimenta_102"
33,"1:10","10dup","20180906 W3","Unknown",0.064,0.062,26.112,0.002,0.001,1.144,"sample_run_2019-03-01","3/1/2019","apimenta_102"
34,"1:11","11","20180913 W1","Unknown",0.073,0.071,30.062,0.002,0.001,1.403,"sample_run_2019-03-01","3/1/2019","apimenta_102"
35,"1:12","12","20180913 W2","Unknown",0.075,0.073,30.877,0.002,0.001,1.408,"sample_run_2019-03-01","3/1/2019","apimenta_102"
36,"1:13","13","digested milliQ","Unknown",0.012,0.01,3.258,0.001,0,0.61,"sample_run_2019-03-01","3/1/2019","apimenta_102"
37,"1:14","14","20180913 Y1","Unknown",0.065,0.064,26.655,0.002,0.001,0.918,"sample_run_2019-03-01","3/1/2019","apimenta_102"
38,"SR:15","CC1","NO3 100 uM","Check Cal",0.236,0.234,101.37,0.001,0,0.695,"sample_run_2019-03-01","3/1/2019","apimenta_102"
39,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.031,0.03,11.814,0.007,0.006,6.157,"sample_run_2019-03-01","3/1/2019","apimenta_102"
40,"1:15","15","20180913 Y2","Unknown",0.065,0.064,26.752,0.002,0.001,1.116,"sample_run_2019-03-01","3/1/2019","apimenta_102"
41,"1:16","16","20180913 Y3","Unknown",0.069,0.067,28.364,0.002,0.001,0.903,"sample_run_2019-03-01","3/1/2019","apimenta_102"
42,"1:17","17","20180913 M1","Unknown",0.16,0.159,68.313,0.002,0.001,1.313,"sample_run_2019-03-01","3/1/2019","apimenta_102"
43,"1:18","18","20180913 M2","Unknown",0.165,0.163,70.324,0.002,0.001,1.328,"sample_run_2019-03-01","3/1/2019","apimenta_102"
44,"1:19","19","20180913 M3","Unknown",0.172,0.17,73.404,0.003,0.002,1.738,"sample_run_2019-03-01","3/1/2019","apimenta_102"
45,"0","AutoWash",NA,"AutoWash",0.008,0.006,1.421,0.001,0,0.194,"sample_run_2019-03-01","3/1/2019","apimenta_102"
46,"0","AutoWash",NA,"AutoWash",0.002,0,-1.215,0.001,0,0.213,"sample_run_2019-03-01","3/1/2019","apimenta_102"
47,"1:20","20","20180917 W1","Unknown",0.067,0.065,27.436,0.002,0.001,0.966,"sample_run_2019-03-01","3/1/2019","apimenta_102"
48,"1:20","20dup","20180917 W1","Unknown",0.069,0.067,28.228,0.002,0.001,0.768,"sample_run_2019-03-01","3/1/2019","apimenta_102"
49,"1:21","21","20180917 W2","Unknown",0.069,0.068,28.502,0.002,0,0.512,"sample_run_2019-03-01","3/1/2019","apimenta_102"
50,"1:22","22","20180917 W3","Unknown",0.073,0.071,30.074,0.002,0,0.36,"sample_run_2019-03-01","3/1/2019","apimenta_102"
51,"1:23","23","20180917 M1","Unknown",0.154,0.153,66.041,0.002,0,0.139,"sample_run_2019-03-01","3/1/2019","apimenta_102"
52,"1:24","24","20180917 M2","Unknown",0.17,0.169,72.899,0.006,0.003,3.422,"sample_run_2019-03-01","3/1/2019","apimenta_102"
53,"1:25","25","digested milliQ","Unknown",0.02,0.019,7.206,0.001,-0.001,-1.147,"sample_run_2019-03-01","3/1/2019","apimenta_102"
54,"1:26","26","20180917 M3","Unknown",0.004,0.004,0.469,0.001,-0.002,-2.19,"sample_run_2019-03-01","3/1/2019","apimenta_102"
55,"1:27","27","20180919 W1","Unknown",0.053,0.053,22.084,0.046,0.043,41.596,"sample_run_2019-03-01","3/1/2019","apimenta_102"
56,"1:28","28","20180919 W2","Unknown",0.124,0.124,53.088,0.015,0.012,11.749,"sample_run_2019-03-01","3/1/2019","apimenta_102"
57,"0","AutoWash",NA,"AutoWash",0.004,0.004,0.728,0.004,0,0.502,"sample_run_2019-03-01","3/1/2019","apimenta_102"
58,"0","AutoWash",NA,"AutoWash",0,0,-1.215,0.004,0,0.213,"sample_run_2019-03-01","3/1/2019","apimenta_102"
59,"SR:15","CC1","NO3 100 uM","Check Cal",0.231,0.232,100.254,0.004,0,0.68,"sample_run_2019-03-01","3/1/2019","apimenta_102"
60,"SR:16","CC2","PO4 6.0 uM","Check Cal",0.032,0.033,13.073,0.01,0.006,6.015,"sample_run_2019-03-01","3/1/2019","apimenta_102"
61,"1:29","29","20180919 W3","Unknown",0.069,0.069,29.067,0.005,0.001,1.13,"sample_run_2019-03-01","3/1/2019","apimenta_102"
62,"1:30","30","20180919 M1","Unknown",0.149,0.15,64.432,0.005,0.001,1.221,"sample_run_2019-03-01","3/1/2019","apimenta_102"
63,"1:30","30dup","20180919 M1","Unknown",0.153,0.153,65.995,0.004,0.001,1.187,"sample_run_2019-03-01","3/1/2019","apimenta_102"
64,"1:31","31","20180919 M2","Unknown",0.153,0.154,66.197,0.004,0.001,1.043,"sample_run_2019-03-01","3/1/2019","apimenta_102"
65,"1:32","32","20180919 M3","Unknown",0.149,0.149,64.276,0.004,0.001,1.052,"sample_run_2019-03-01","3/1/2019","apimenta_102"
66,"1:33","33","20180919 Y1","Unknown",0.067,0.068,28.376,0.003,0,0.557,"sample_run_2019-03-01","3/1/2019","apimenta_102"
67,"1:34","34","20180919 Y2","Unknown",0.065,0.066,27.661,0.003,0,0.614,"sample_run_2019-03-01","3/1/2019","apimenta_102"
68,"1:35","35","20180919 Y3","Unknown",0.071,0.071,30.004,0.003,0.001,0.806,"sample_run_2019-03-01","3/1/2019","apimenta_102"
69,"1:36","36","20180924 W1","Unknown",0.084,0.085,35.899,0.003,0.001,1.176,"sample_run_2019-03-01","3/1/2019","apimenta_102"
70,"1:37","37","digested milliQ","Unknown",0.012,0.012,4.155,0.002,0,0.55,"sample_run_2019-03-01","3/1/2019","apimenta_102"
71,"0","AutoWash",NA,"AutoWash",0,0.001,-0.983,0.002,0,0.139,"sample_run_2019-03-01","3/1/2019","apimenta_102"
72,"0","AutoWash",NA,"AutoWash",-0.001,0,-1.215,0.002,0,0.213,"sample_run_2019-03-01","3/1/2019","apimenta_102"
73,"1:38","38","20180924 W2","Unknown",0.085,0.086,36.35,0.003,0.001,1.289,"sample_run_2019-03-01","3/1/2019","apimenta_102"
74,"1:39","39","20180924 W3","Unknown",0.087,0.088,37.313,0.003,0.001,1.237,"sample_run_2019-03-01","3/1/2019","apimenta_102"
