"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.363,0.355,168.729,166.358,NA,2.371,2.371,0.006,0.004,4.361,3.891,NA,0.47,0.47,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
22,"Shivers 2 check","1:2","2",0.078,0.077,35.838,33.2345,2.371,2.836,2.6035,0.003,0.002,1.502,0.945,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
23,"Shivers 2 check","1:3","3",0.081,0.077,35.889,33.2855,2.371,2.836,2.6035,0.003,0.002,1.589,1.032,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
24,"Shivers 2 check","1:4","4",0.081,0.077,35.955,33.3515,2.371,2.836,2.6035,0.003,0.002,1.545,0.988,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
25,"20180816 W2","1:5","5",0.054,0.05,23.06,20.4565,2.371,2.836,2.6035,0.003,0.001,1.333,0.776,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
26,"20180816 W3","1:6","6",0.052,0.049,22.829,20.2255,2.371,2.836,2.6035,0.003,0.001,1.333,0.776,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
27,"20180820 W1","1:7","7",0.061,0.058,27.09,24.4865,2.371,2.836,2.6035,0.003,0.002,1.64,1.083,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
28,"20180820 W","1:8","8",0.077,0.074,34.504,31.9005,2.371,2.836,2.6035,0.022,0.021,20.224,19.667,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
29,"20180820 W3","1:9","9",0.067,0.063,29.552,26.9485,2.371,2.836,2.6035,0.006,0.004,4.196,3.639,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
30,"20180820 Y1","1:10","10",0.076,0.073,33.94,31.3365,2.371,2.836,2.6035,0.003,0.002,2.016,1.459,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
33,"20180820 Y1","1:10","10dup",0.072,0.071,33.26,30.6565,2.371,2.836,2.6035,0.003,0.002,2.038,1.481,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
34,"20180820 Y","1:11","11",0.064,0.061,28.24,25.6365,2.371,2.836,2.6035,0.003,0.001,1.276,0.719,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
35,"20180820 Y3","1:12","12",0.065,0.062,28.932,26.3285,2.371,2.836,2.6035,0.003,0.001,1.387,0.83,0.47,0.644,0.557,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
37,"20180823 M1","1:14","14",0.129,0.128,60.372,56.4835,2.836,4.941,3.8885,0.006,0.005,4.702,4.0575,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
40,"20180823 M2","1:15","15",0.137,0.136,63.996,60.1075,2.836,4.941,3.8885,0.004,0.002,2.178,1.5335,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
41,"20180823 M3","1:16","16",0.136,0.13,61.211,57.3225,2.836,4.941,3.8885,0.004,0.002,2.303,1.6585,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
42,"20180823 W1","1:17","17",0.07,0.064,29.766,25.8775,2.836,4.941,3.8885,0.004,0.002,2.004,1.3595,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
43,"20180823 W2","1:18","18",0.067,0.064,29.947,26.0585,2.836,4.941,3.8885,0.004,0.002,2.031,1.3865,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
44,"20180823 W3","1:19","19",0.07,0.066,30.995,27.1065,2.836,4.941,3.8885,0.004,0.002,1.948,1.3035,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
47,"20180827 W1","1:20","20",0.062,0.061,28.622,24.7335,2.836,4.941,3.8885,0.004,0.002,1.761,1.1165,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
48,"20180827 W1","1:20","20dup",0.063,0.06,28.115,24.2265,2.836,4.941,3.8885,0.004,0.002,1.808,1.1635,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
49,"20180827 W_","1:21","21",0.063,0.06,27.92,24.0315,2.836,4.941,3.8885,0.004,0.002,1.703,1.0585,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
50,"20180827 W3","1:22","22",0.063,0.06,27.796,23.9075,2.836,4.941,3.8885,0.003,0.001,1.164,0.5195,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
51,"20180827 M1","1:23","23",0.144,0.141,66.4,62.5115,2.836,4.941,3.8885,0.003,0.001,1.31,0.6655,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
52,"20180827 M2","1:24","24",0.15,0.144,68.021,64.1325,2.836,4.941,3.8885,0.003,0.001,1.417,0.7725,0.644,0.645,0.6445,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
54,"20180827 M3","1:26","26",0.14,0.139,65.451,61.6075,4.941,2.746,3.8435,0.004,0.001,1.396,0.71,0.645,0.727,0.686,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
55,"20180829 __","1:27","27",0.063,0.057,26.304,22.4605,4.941,2.746,3.8435,0.003,0.001,1.01,0.324,0.645,0.727,0.686,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
56,"20180829 W2","1:28","28",0.059,0.057,26.288,22.4445,4.941,2.746,3.8435,0.003,0.001,1.328,0.642,0.645,0.727,0.686,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
61,"20180829 __","1:29","29",0.057,0.056,26,22.1565,4.941,2.746,3.8435,0.003,0.001,1.043,0.357,0.645,0.727,0.686,"sample_run_2019-02-26b","2/26/2019","apimenta_101"
