"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","p_raw_ht","p_cor_ht","p_um","run_name","run_date","operator","n_b_um1","n_b_um2","n_mean_b_um","p_b_um1","p_b_um2","p_mean_b_um","n_um_cor","p_um_cor"
2,NA,"SR:2","NO3 check",0.385,0.377,166.136,0.002,0.002,1.595,"sample_run_2019-03-06","3/6/2019","apimenta_103",NA,1.528,1.528,NA,0.421,0.421,164.608,1.174
22,"Steve Shivers 2 standard","1:2","2",0.265,0.264,116.082,0.004,0.003,3.339,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,114.554,2.8575
23,"Steve Shivers 2 standard","1:3","3",0.278,0.276,121.464,0.004,0.004,3.422,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,119.936,2.9405
24,"Steve Shivers 2 standard","1:4","4",0.281,0.28,123.094,0.004,0.004,3.464,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,121.566,2.9825
25,"20180927 M1","1:5","5",0.156,0.154,67.34,0.002,0.001,1.215,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,65.812,0.7335
26,"20180927 M2","1:6","6",0.152,0.151,65.988,0.002,0.001,1.268,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,64.46,0.7865
27,"20180927 M3","1:7","7",0.149,0.148,64.33,0.001,0.001,1.142,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,62.802,0.6605
28,"20181001 W1","1:8","8",0.094,0.094,40.312,0.002,0.001,1.214,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,38.784,0.7325
29,"20181001 W2","1:9","9",0.092,0.091,39.092,0.002,0.001,1.206,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,37.564,0.7245
30,"20181001 W3","1:10","10",0.095,0.094,40.492,0.002,0.001,1.204,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,38.964,0.7225
33,"20181001 W3","1:10","10dup",0.091,0.091,39.049,0.002,0.001,1.269,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,37.521,0.7875
34,"20181001 M1","1:11","11",0.153,0.153,66.551,0.002,0.001,1.365,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,65.023,0.8835
35,"20181001 M2","1:12","12",0.15,0.15,65.199,0.002,0.001,1.278,"sample_run_2019-03-06","3/6/2019","apimenta_103",1.528,NA,1.528,0.421,0.542,0.4815,63.671,0.7965
37,"20181001 M3","1:14","14",0.144,0.143,62.478,0.002,0.001,1.241,"sample_run_2019-03-06","3/6/2019","apimenta_103",NA,4.384,4.384,0.542,NA,0.542,58.094,0.699
40,"20181002 Y1","1:15","15",0.058,0.058,24.431,0.001,0.001,0.809,"sample_run_2019-03-06","3/6/2019","apimenta_103",NA,4.384,4.384,0.542,NA,0.542,20.047,0.267
