"peak","name","position","identifier","n_raw_ht","n_cor_ht","n_um","n_um_cor","n_b_um1","n_b_um2","n_mean_b_um","p_raw_ht","p_cor_ht","p_um","p_um_cor","p_b_um1","p_b_um2","p_mean_b_um","run_name","run_date","operator"
2,NA,"SR:2","NO3 check",0.371,0.362,159.981,157.141,NA,2.84,2.84,0.001,0.001,1.033,0.439,NA,0.594,0.594,"sample_run_2019-03-20","3/20/2019","apimenta_108"
22,"Steve Shivers 2 check","1:2","2",0.081,0.079,34.698,29.279,2.84,7.998,5.419,0.002,0.001,1.034,0.4195,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
23,"Steve Shivers 2 check","1:3","3",0.085,0.082,36.204,30.785,2.84,7.998,5.419,0.002,0.001,1.12,0.5055,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
24,"Steve Shivers 2 check","1:4","4",0.085,0.082,36.27,30.851,2.84,7.998,5.419,0.002,0.001,1.073,0.4585,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
25,"20170914 W1","1:5","5",0.15,0.147,64.997,59.578,2.84,7.998,5.419,0.002,0.001,1.343,0.7285,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
26,"20170914 W2","1:6","6",0.15,0.147,65.019,59.6,2.84,7.998,5.419,0.002,0.001,1.297,0.6825,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
27,"20170914 W3","1:7","7",0.151,0.149,65.723,60.304,2.84,7.998,5.419,0.002,0.001,1.356,0.7415,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
28,"20170918 Y1","1:8","8",0.076,0.074,32.515,27.096,2.84,7.998,5.419,0.001,0.001,0.888,0.2735,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
29,"20170918 Y2","1:9","9",0.071,0.068,29.95,24.531,2.84,7.998,5.419,0.002,0.001,1.053,0.4385,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
30,"20170918 Y3","1:10","10",0.074,0.072,31.484,26.065,2.84,7.998,5.419,0.001,0.001,1,0.3855,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
33,"20170918 Y3","1:10","10dup",0.072,0.07,30.687,25.268,2.84,7.998,5.419,0.001,0.001,0.857,0.2425,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
34,"20170918 W1","1:11","11",0.143,0.14,61.908,56.489,2.84,7.998,5.419,0.002,0.001,1.445,0.8305,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
35,"20170918 W2","1:12","12",0.146,0.143,63.262,57.843,2.84,7.998,5.419,0.002,0.001,1.371,0.7565,0.594,0.635,0.6145,"sample_run_2019-03-20","3/20/2019","apimenta_108"
37,"20170918 W3","1:14","14",0.141,0.138,60.97,53.0745,7.998,7.793,7.8955,0.002,0.001,1.22,0.5415,0.635,0.722,0.6785,"sample_run_2019-03-20","3/20/2019","apimenta_108"
